Index,Project URL,Commits Used,Average Test Time (s)
1,https://github.com/mitre/HTTP-Proxy-Servlet,50,13.0
2,https://github.com/lemire/JavaFastPFOR,50,17.3
3,https://github.com/Cognifide/Maven-CRX-Plugin,11,8.6
4,https://github.com/knowm/Sundial,50,2.4
5,https://github.com/timmolter/Yank,17,9.1
6,https://github.com/tatsuhiro-t/argparse4j,50,7.8
7,https://github.com/spullara/cli-parser,9,8.2
8,https://github.com/apache/commons-cli,50,14.5
9,https://github.com/apache/commons-fileupload,9,20.3
10,https://github.com/google/compile-testing,50,10.3
11,https://github.com/jhalterman/concurrentunit,31,3.0
12,https://github.com/bpsm/edn-java,50,7.7
13,https://github.com/fasseg/exp4j,50,8.6
14,https://github.com/geosolutions-it/geoserver-manager,50,6.3
15,https://github.com/threerings/getdown,16,5.1
16,https://github.com/imglib/imglib2,50,20.1
17,https://github.com/rmuller/infomas-asl,22,14.1
18,https://github.com/headius/invokebinder,50,6.0
19,https://github.com/FasterXML/jackson-core,50,96.1
20,https://github.com/romix/java-concurrent-hash-trie-map,3,8.7
21,https://github.com/microfocus-idol/java-configuration-impl,24,3.3
22,https://github.com/mwilliamson/java-mammoth,50,2.7
23,https://github.com/mojohaus/jaxb2-maven-plugin,50,5.9
24,https://github.com/valfirst/jbehave-junit-runner,50,3.8
25,https://github.com/tcurdt/jdeb,50,4.6
26,https://github.com/jfinal/jfinal,50,2.9
27,https://github.com/meltmedia/jgroups-aws,17,3.2
28,https://github.com/JodaOrg/joda-money,50,10.9
29,https://github.com/JodaOrg/joda-time,50,12.3
30,https://github.com/jhunters/jprotobuf,50,9.0
31,https://github.com/lukas-krecan/json2xml,14,8.6
32,https://github.com/pwall567/jsonutil,40,4.0
33,https://github.com/rschreijer/lutung,15,8.2
34,https://github.com/mguymon/model-citizen,42,7.9
35,https://github.com/mpatric/mp3agic,47,8.1
36,https://github.com/mrniko/netty-socketio,50,3.2
37,https://github.com/tbuktu/ntru,50,22.0
38,https://github.com/phax/ph-ebinterface,20,179.5
39,https://github.com/redlink-gmbh/redlink-java-sdk,50,3.4
40,https://github.com/fernandezpablo85/scribe-java,50,27.3
41,https://github.com/codedance/silken,19,7.1
42,https://github.com/smartsheet-platform/smartsheet-java-sdk,21,48.5
43,https://github.com/Esri/spatial-framework-for-hadoop,2,22.5
44,https://github.com/resourcepool/ssdp-client,15,12.5
45,https://github.com/ning/tr13,32,8.3
46,https://github.com/javadev/underscore-java,50,16.7
47,https://github.com/webjars/webjars-locator,12,4.8
48,https://github.com/EsotericSoftware/yamlbeans,31,2.6
